project_id,sprint_id,sprint_duration_days,team_size,avg_experience_years,planned_story_points,completed_story_points,velocity_change_pct,backlog_growth_rate,dependency_blockers,scope_change_requests,bug_count,reopened_issues,code_churn_pct,test_coverage_pct,deployment_failures,avg_work_hours,meeting_hours,attrition_risk_score,communication_delay_hours,unplanned_leave_days,days_remaining,milestone_slippage_days,client_priority,delivery_risk
P381,10,14,13,3.5,29,38,-30.3,1.6,4,1,6,1,34.2,62.5,0,9.4,5.8,0.44,5.6,1,66,1,3,0
P384,12,14,14,6.9,61,12,-39.5,15.6,0,5,13,4,33.5,77.9,1,7.8,7.6,0.86,2.8,0,79,4,4,1
P100,9,14,11,5.3,28,31,-39.0,34.2,3,1,10,0,24.1,55.1,0,9.6,3.1,0.15,1.7,0,25,0,1,0
P218,3,10,4,2.6,69,62,-14.7,23.4,1,2,3,1,14.9,58.1,1,9.1,7.1,0.85,2.9,3,21,4,2,0
P134,3,10,6,2.7,50,66,-21.2,23.6,4,1,10,3,32.4,70.3,1,7.2,12.5,0.47,11.1,0,85,5,4,0
P297,4,21,5,7.0,51,19,-24.3,1.6,4,2,7,4,40.4,58.9,0,8.6,7.1,0.84,11.8,0,9,2,1,1
P344,11,21,7,5.4,21,49,-2.6,8.9,0,0,9,4,14.6,71.4,1,9.9,9.2,0.34,11.5,1,42,8,2,0
P158,1,7,5,3.8,43,29,8.8,5.4,2,2,6,4,36.4,80.3,2,7.5,14.8,0.79,11.6,0,68,4,4,0
P424,9,10,14,2.3,56,20,-36.2,3.6,4,1,7,4,29.5,80.8,0,7.6,9.8,0.59,6.2,3,77,5,1,1
P260,11,7,11,5.3,72,17,-33.4,22.9,1,3,8,2,34.6,87.2,0,9.0,8.2,0.17,10.1,0,5,1,4,1
P278,3,10,4,2.3,62,45,-17.9,-5.5,2,2,6,2,27.4,60.7,0,9.5,8.7,0.23,4.8,0,24,6,1,0
P305,13,14,7,4.3,25,34,-13.5,-2.6,4,1,8,6,34.4,75.7,1,7.7,13.4,0.19,10.6,1,35,5,1,0
P111,10,7,8,5.7,27,48,-16.3,8.6,2,0,7,3,36.8,93.5,0,7.1,11.7,0.25,5.3,0,55,7,5,0
P375,4,7,13,5.0,59,71,-1.7,3.6,1,0,11,4,35.4,54.1,0,9.5,3.9,0.19,6.3,0,80,8,1,0
P280,1,7,7,7.5,44,30,-34.8,30.7,0,2,1,0,44.3,62.5,0,8.1,5.9,0.51,9.5,2,76,7,3,1
P341,4,10,11,1.3,61,28,-10.3,-1.0,2,1,9,3,19.9,88.7,1,10.7,9.1,0.56,7.9,1,5,5,5,1
P315,13,21,5,3.0,62,34,8.7,1.2,1,0,13,2,37.0,71.7,0,9.5,10.0,0.47,2.9,0,69,6,1,1
P350,1,7,12,1.4,70,14,15.7,-2.0,0,0,8,3,33.7,83.5,0,7.5,7.6,0.73,11.1,1,81,1,3,1
P398,5,21,5,2.4,44,21,-6.4,28.6,1,0,10,7,37.9,64.6,1,8.6,4.2,0.89,4.0,1,89,2,3,1
P225,5,10,5,1.9,65,34,-31.7,-0.9,2,0,9,3,14.0,68.3,2,10.8,9.9,0.55,1.3,1,14,3,2,1
P316,14,7,5,6.1,30,14,3.6,5.8,0,1,3,5,12.2,53.6,0,9.5,5.1,0.53,8.5,2,55,3,5,0
P405,11,10,13,3.6,54,36,7.8,20.1,2,2,12,0,13.9,89.6,1,10.0,7.6,0.89,1.6,1,64,4,4,0
P384,7,21,11,7.5,20,13,-28.2,-6.5,3,1,6,1,45.0,81.6,0,10.1,14.2,0.45,6.4,0,36,6,2,1
P284,14,21,6,1.2,79,54,0.7,26.7,0,0,11,6,42.4,72.9,1,11.0,9.8,0.73,4.2,0,87,3,1,0
P138,8,7,13,5.6,78,56,15.8,21.8,4,0,12,3,42.6,63.0,0,10.3,10.6,0.72,8.6,0,17,6,4,1
P322,4,21,14,7.8,72,37,3.1,1.7,3,4,10,4,33.9,85.9,1,8.2,11.4,0.22,5.4,0,74,6,2,0
P283,7,14,13,2.2,42,44,-15.1,7.6,1,1,9,4,18.2,88.0,0,10.4,6.3,0.76,3.0,3,21,4,2,0
P277,4,14,11,4.1,22,25,-13.4,17.9,1,4,8,2,31.9,64.8,0,7.2,5.1,0.64,1.2,2,80,3,3,0
P393,3,7,10,5.9,60,21,-35.2,32.6,2,0,11,4,16.8,79.9,2,7.3,7.0,0.87,11.9,1,35,4,1,1
P439,6,10,13,5.4,20,52,-8.4,18.3,5,0,8,1,7.8,71.7,3,10.3,5.7,0.23,2.7,0,88,4,5,0
P250,4,10,7,5.0,73,37,8.2,1.4,1,1,10,3,16.4,87.9,1,10.5,10.6,0.22,11.9,0,12,6,5,0
P483,14,10,10,3.3,63,28,18.7,11.7,3,2,12,4,28.2,60.3,0,8.5,4.3,0.78,8.2,1,83,3,3,1
P225,3,14,14,6.1,31,64,-16.0,10.2,1,0,13,4,40.6,67.8,1,9.1,12.3,0.59,7.4,1,22,2,3,0
P400,9,21,11,5.6,57,45,-13.9,14.0,2,2,6,3,26.7,74.0,0,10.3,8.7,0.5,4.6,0,52,6,3,0
P407,5,14,9,2.1,59,71,-36.7,13.4,4,0,8,3,18.4,88.7,2,8.6,9.0,0.66,8.5,0,14,4,2,1
P435,13,21,9,7.7,50,48,6.5,6.4,1,0,6,3,12.3,65.7,1,8.9,11.9,0.26,10.5,1,40,4,2,0
P333,14,14,6,4.9,48,50,3.0,29.2,2,1,7,2,28.5,50.4,1,9.5,14.7,0.87,4.8,2,41,2,2,0
P479,7,10,8,4.7,54,69,-15.8,4.9,5,1,11,4,30.7,64.2,2,10.1,9.4,0.66,6.1,1,6,6,5,0
P474,12,10,13,6.9,47,68,2.6,13.8,3,3,8,2,16.7,63.4,1,10.2,9.8,0.82,1.5,0,87,5,4,0
P107,14,10,5,5.5,40,49,-2.6,1.7,7,3,5,1,22.5,57.2,1,9.6,8.9,0.66,11.8,0,24,2,5,0
P440,6,7,8,1.5,30,28,6.1,9.6,4,2,6,1,6.0,79.6,3,9.1,4.2,0.88,7.8,0,47,6,5,0
P228,10,7,8,4.5,45,64,-21.2,20.7,2,3,4,3,16.6,84.8,1,9.4,4.6,0.61,11.4,1,51,3,1,0
P363,5,21,10,6.5,30,55,-1.0,24.1,2,3,8,4,12.0,92.7,1,7.1,7.8,0.62,3.6,2,64,7,2,0
P256,7,7,7,5.9,24,13,-2.5,26.3,1,3,12,1,39.3,66.0,3,8.1,14.5,0.29,4.7,0,85,4,3,0
P451,11,14,14,7.8,75,71,-34.6,23.2,1,1,11,3,6.8,87.4,0,10.9,3.6,0.35,4.7,0,39,9,5,1
P457,6,14,9,1.2,26,34,-23.1,11.0,0,3,8,3,35.5,87.6,2,7.1,11.8,0.44,7.0,0,80,1,3,0
P104,10,21,12,2.8,70,72,11.6,-8.3,2,3,10,1,22.0,91.7,2,8.2,3.7,0.39,1.1,1,53,3,4,0
P185,2,21,7,4.8,50,22,-30.6,13.6,2,3,8,2,7.1,90.6,3,10.5,9.5,0.48,10.9,1,49,5,1,1
P274,13,10,14,5.3,58,13,-17.2,-7.5,1,1,4,6,15.3,55.5,1,10.5,11.5,0.33,7.5,2,30,5,3,1
P389,13,7,9,2.9,61,11,-26.5,33.5,3,0,8,2,16.0,84.2,1,7.4,3.7,0.54,9.0,0,14,2,4,1
P292,13,10,12,6.8,27,39,-31.6,7.0,3,3,6,3,28.7,83.0,1,10.7,5.0,0.39,9.2,0,66,5,1,0
P410,3,7,13,2.2,72,13,-31.8,12.7,1,2,11,0,33.2,92.0,1,7.5,4.9,0.2,2.7,0,60,2,2,1
P218,2,7,4,1.0,46,57,-19.1,-4.2,1,1,6,3,27.4,62.5,0,10.9,5.6,0.39,7.3,2,62,5,1,0
P317,12,21,11,7.7,40,52,8.2,34.8,3,3,6,0,16.3,90.7,0,7.3,5.6,0.85,9.0,3,85,8,3,0
P213,3,10,4,3.7,49,54,18.0,12.1,2,1,8,3,32.4,92.8,0,9.2,11.6,0.15,2.2,3,28,8,2,0
P244,1,10,7,7.7,33,22,-5.7,3.4,3,2,6,9,36.4,87.3,1,9.1,6.9,0.4,2.8,0,80,5,5,0
P125,8,7,6,2.9,78,56,-1.9,-1.3,0,0,7,6,26.4,54.5,0,10.6,7.6,0.16,1.3,1,49,0,2,0
P235,6,7,7,1.4,20,37,6.7,19.2,3,2,8,2,35.2,68.9,0,7.2,5.8,0.13,6.7,0,71,3,5,0
P402,13,21,10,6.4,64,46,-0.3,9.6,1,1,10,3,31.1,63.3,0,10.0,12.9,0.64,9.5,1,9,4,4,0
P331,2,14,12,6.9,43,37,10.9,4.3,1,2,7,3,20.0,76.2,1,8.1,8.4,0.48,11.7,1,8,2,5,0
P468,8,10,12,4.4,25,36,13.0,-9.6,2,1,9,1,14.9,75.5,2,7.3,4.7,0.75,4.5,2,23,5,4,0
P175,6,10,13,1.5,25,39,-2.3,-8.4,0,1,4,3,15.9,78.9,3,7.5,13.7,0.28,1.9,0,55,4,5,0
P427,7,21,4,5.6,72,15,-8.0,21.2,1,2,9,1,16.6,64.3,0,7.8,12.8,0.15,11.2,2,22,4,2,1
P444,11,21,13,2.3,24,18,-16.5,11.6,1,2,11,2,29.0,64.1,1,9.8,4.7,0.84,1.6,2,46,5,4,0
P401,1,10,4,6.9,54,15,-12.3,28.2,3,4,5,4,32.6,55.8,0,8.7,13.3,0.65,1.3,2,10,7,4,1
P388,7,10,12,2.9,63,38,-19.3,23.9,2,2,13,2,36.6,71.2,0,8.8,12.9,0.87,4.6,1,64,2,2,1
P100,3,7,7,6.9,34,62,-14.4,15.8,2,3,8,4,35.8,60.1,2,8.6,4.3,0.52,4.1,1,80,3,4,0
P246,11,14,6,4.0,54,14,14.0,15.2,1,2,7,3,5.5,70.1,1,8.5,13.5,0.2,8.9,1,59,3,3,1
P386,12,10,12,5.2,67,29,18.3,23.5,1,3,5,6,38.7,65.8,1,8.1,10.3,0.25,3.1,1,45,3,3,1
P241,8,21,8,6.5,69,21,-18.3,23.4,2,2,7,3,16.4,81.2,0,7.0,6.0,0.49,6.0,1,11,7,4,1
P152,6,7,9,1.3,60,17,-26.8,5.1,3,3,9,3,31.3,65.8,2,10.0,3.9,0.68,10.9,2,22,4,1,1
P403,4,7,4,6.7,27,67,-35.3,-5.3,4,1,9,3,38.7,64.2,2,9.4,4.6,0.88,2.3,1,31,6,1,0
P168,11,21,4,2.0,62,58,10.2,24.7,0,4,6,3,10.3,55.2,0,8.5,11.4,0.46,8.4,2,77,4,4,0
P460,8,21,10,3.5,54,73,12.2,0.0,1,0,5,2,6.9,57.1,1,8.5,9.2,0.2,8.0,1,39,2,2,0
P189,9,7,13,4.3,24,59,-13.0,25.6,1,3,10,4,38.4,54.0,1,7.0,12.5,0.27,9.8,3,67,1,4,0
P319,10,21,11,7.3,50,48,-7.5,17.8,2,3,7,3,28.4,93.3,0,9.6,14.0,0.42,8.9,0,82,9,5,0
P291,2,7,14,1.2,61,49,4.4,6.1,5,1,7,4,22.5,78.2,2,10.9,6.9,0.77,7.5,1,47,2,4,0
P162,6,21,11,4.9,50,40,-17.4,28.4,3,3,8,5,14.4,73.8,1,10.2,8.6,0.21,2.6,1,9,1,1,0
P172,5,7,10,5.5,56,12,-27.9,21.1,4,1,8,4,15.9,57.3,1,9.9,11.9,0.61,1.6,0,80,3,4,1
P260,5,10,14,3.2,27,39,-33.1,14.5,2,2,9,3,36.1,82.5,2,10.9,4.1,0.16,2.5,0,81,1,3,0
P268,10,10,12,3.0,25,38,-25.9,3.5,0,2,5,2,10.6,65.2,1,9.0,11.6,0.45,4.5,0,29,5,3,0
P188,11,21,4,4.4,42,65,-1.3,34.4,1,0,6,5,40.8,80.4,1,10.0,5.1,0.44,3.5,0,39,2,5,0
P275,3,14,5,2.3,72,72,-19.1,27.7,1,1,6,3,22.3,86.8,2,8.9,11.2,0.7,4.6,3,77,4,4,0
P368,12,10,6,4.3,35,39,12.1,-3.9,3,1,9,1,12.1,57.5,1,7.5,7.5,0.49,5.2,0,85,2,4,0
P172,8,7,8,6.4,63,62,-34.7,26.3,1,1,7,1,27.7,93.6,1,7.9,3.6,0.71,7.7,1,21,3,5,1
P344,14,14,7,6.9,68,55,-15.0,-4.6,1,4,8,1,11.2,69.8,2,9.9,9.3,0.8,5.9,0,69,3,4,0
P176,8,7,7,3.7,27,18,-24.6,1.1,0,1,10,3,21.5,64.9,0,11.0,11.9,0.52,7.1,0,34,2,1,0
P258,12,7,11,5.3,23,16,13.3,33.1,1,2,12,2,30.0,65.8,3,8.1,7.7,0.43,9.0,3,56,4,4,0
P423,5,10,11,1.0,51,72,8.4,29.1,4,2,11,2,9.1,90.0,0,9.0,4.6,0.86,7.1,4,84,4,5,0
P197,8,21,14,4.9,72,56,19.1,17.3,1,1,6,7,30.3,91.8,2,7.2,3.2,0.22,2.2,1,52,6,1,0
P480,10,21,10,7.8,68,53,-32.8,21.5,1,1,14,1,20.8,74.4,3,8.0,11.0,0.64,5.6,0,31,5,1,1
P201,8,7,4,3.2,22,58,6.9,-6.0,3,6,11,4,41.2,67.3,1,10.5,8.3,0.2,2.6,0,43,1,4,0
P231,3,10,13,5.2,69,71,-32.4,5.0,3,0,4,5,40.3,89.0,1,9.6,10.4,0.4,9.5,0,25,7,4,1
P201,2,7,7,6.3,35,68,-30.7,4.5,0,3,3,6,41.7,92.6,1,9.7,9.1,0.29,5.9,1,87,3,2,0
P118,9,14,4,5.3,79,22,-37.6,-8.5,1,1,10,1,15.4,71.7,2,9.9,5.3,0.26,11.5,2,60,3,5,1
P181,2,7,14,3.9,53,39,-12.1,21.7,1,2,8,0,30.6,94.8,0,10.7,14.0,0.23,3.5,2,48,4,5,0
P496,9,10,8,2.1,32,52,-32.4,3.8,2,1,6,3,8.4,79.0,3,9.4,10.8,0.52,6.4,0,50,6,5,0
P378,4,7,6,4.2,52,60,-19.1,18.5,5,3,10,3,27.4,55.2,1,7.9,11.1,0.19,1.8,1,41,3,4,0
P438,12,10,6,3.1,41,17,-23.4,-8.8,1,1,11,1,33.3,53.2,1,7.0,12.1,0.67,11.1,0,53,2,1,1
P464,13,21,7,5.9,50,46,18.6,-9.9,1,1,13,3,21.4,75.6,0,10.6,13.7,0.6,3.7,3,13,4,1,0
P430,2,10,5,4.1,43,73,-0.5,-2.3,0,1,7,6,14.4,64.2,1,8.5,14.2,0.4,9.3,1,52,4,5,0
P228,10,14,10,6.9,22,48,-15.4,21.6,0,0,4,2,12.4,61.7,0,7.9,3.8,0.9,7.3,0,10,2,2,0
P443,1,10,7,2.4,52,17,12.7,17.2,2,3,10,4,14.5,68.6,1,8.2,3.5,0.41,1.2,1,46,1,2,1
P409,4,14,8,3.9,49,71,-36.2,-1.0,1,2,3,4,13.1,90.5,1,7.2,8.0,0.57,11.6,1,35,4,4,0
P188,9,14,5,4.9,45,48,-19.9,13.6,3,2,9,6,45.0,78.5,1,9.2,7.3,0.4,11.3,2,60,5,3,0
P312,12,7,9,1.9,53,23,-9.1,17.9,1,1,7,0,20.9,53.9,0,9.5,7.4,0.84,9.5,2,42,5,1,1
P242,9,14,12,5.1,70,61,-36.8,32.3,4,2,9,3,6.6,63.4,1,8.3,4.8,0.45,11.5,2,44,2,1,1
P164,4,10,11,3.0,41,66,-31.2,24.3,1,0,7,3,18.3,79.5,2,8.3,13.9,0.15,8.9,0,20,2,3,0
P175,9,21,11,2.6,49,30,13.7,-3.9,1,0,9,0,23.2,94.9,3,8.7,5.5,0.21,4.3,2,81,4,4,0
P298,12,10,5,2.0,54,32,-29.2,2.2,1,1,7,3,13.2,62.5,0,7.7,14.2,0.53,5.6,1,79,4,5,1
P242,6,21,7,3.4,44,13,15.3,8.2,1,1,7,1,24.5,68.9,1,8.0,10.2,0.73,3.0,0,44,3,1,1
P415,1,14,11,7.5,47,52,-34.2,-5.3,0,1,5,3,11.6,91.4,3,8.6,8.1,0.41,10.4,1,75,4,5,0
P192,10,7,14,1.2,52,20,13.3,15.0,2,0,7,4,11.9,91.4,1,7.7,14.4,0.72,5.6,1,51,2,4,1
P404,13,14,4,7.0,42,28,-12.8,30.8,1,3,4,2,13.8,53.3,2,10.9,12.3,0.72,2.0,0,83,7,4,0
P323,14,14,11,3.8,45,74,-5.6,3.8,2,1,8,3,13.1,86.4,2,9.4,3.4,0.44,4.8,0,87,4,4,0
P390,6,21,6,4.9,75,11,-23.1,34.3,1,2,7,3,8.1,72.0,1,9.4,5.4,0.67,4.5,0,79,2,2,1
P201,9,10,11,4.6,28,58,-23.6,1.2,2,1,10,3,45.0,57.6,0,7.7,13.0,0.19,10.5,2,9,6,3,0
P366,13,7,9,7.5,27,43,-10.5,11.3,0,6,9,2,14.5,80.4,3,8.6,4.0,0.66,1.7,1,5,3,2,0
P454,2,7,10,6.4,56,13,-18.7,5.4,0,1,10,4,34.8,73.0,0,8.7,12.4,0.89,9.1,1,28,3,2,1
P209,6,7,5,7.9,52,48,-35.3,3.9,2,2,9,0,8.3,84.3,1,8.6,14.6,0.86,2.1,2,41,1,3,1
P429,2,7,4,6.6,34,58,-18.8,7.0,2,1,11,4,24.3,74.9,2,9.0,6.3,0.57,7.7,1,59,3,1,0
P364,4,10,9,3.1,68,12,-24.7,-8.5,0,4,9,1,11.0,89.4,0,8.9,6.0,0.3,4.7,0,51,1,1,1
P102,8,7,6,7.7,66,35,11.0,13.9,1,2,10,5,9.5,64.4,0,9.8,6.6,0.81,3.3,0,19,3,3,1
P184,13,21,7,7.9,27,50,10.3,23.4,1,3,4,4,18.8,52.2,2,10.4,13.9,0.63,7.2,2,43,1,1,0
P381,7,21,12,1.9,74,74,-31.5,28.9,5,2,10,3,34.4,64.1,1,10.7,5.8,0.3,10.1,1,21,4,4,0
P427,11,7,6,7.3,40,25,3.8,4.6,1,1,6,3,10.8,62.4,0,10.6,6.3,0.7,4.8,0,39,2,2,0
P403,12,7,5,5.6,77,67,-12.9,14.8,2,0,9,3,15.1,82.9,2,10.4,10.6,0.5,9.0,0,49,1,5,0
P216,13,10,5,7.5,22,44,12.1,30.2,3,6,10,6,21.4,82.9,0,9.1,10.2,0.44,5.3,0,43,6,1,0
P320,9,10,5,7.4,28,25,-23.6,26.0,2,1,17,3,37.4,78.6,0,10.9,13.3,0.23,1.3,0,75,3,5,0
P253,7,7,9,7.2,71,42,-34.7,10.9,2,1,7,4,23.4,70.8,0,8.1,11.8,0.61,1.9,1,58,5,1,1
P252,1,10,5,7.2,33,40,8.0,-2.6,1,1,14,1,44.0,54.7,3,9.1,12.5,0.75,5.8,0,38,5,2,0
P111,2,14,14,1.8,57,31,12.1,15.1,0,1,8,6,24.8,73.5,1,9.6,3.0,0.33,6.2,2,17,3,2,0
P232,6,7,10,2.0,46,70,10.4,34.5,4,1,6,3,31.5,92.1,1,8.9,13.4,0.75,9.1,0,60,2,2,0
P403,7,10,10,1.8,39,73,-20.2,24.1,1,3,14,0,32.3,89.7,1,9.9,14.9,0.67,9.0,0,40,2,2,0
P392,3,21,10,1.6,76,44,-38.1,28.2,1,0,10,3,13.6,50.8,2,8.9,13.0,0.51,10.9,0,71,7,1,1
P399,9,7,5,3.5,23,48,-31.6,-1.5,1,1,8,1,5.6,87.7,0,10.1,5.5,0.78,4.1,1,36,6,4,0
P327,13,7,10,5.8,43,12,15.2,30.7,2,4,4,1,31.0,73.8,1,8.6,8.4,0.65,4.7,1,39,6,1,1
P370,7,21,13,3.5,46,22,-18.2,-9.4,2,1,6,4,15.7,66.8,2,9.4,5.9,0.33,8.7,1,6,4,2,0
P142,14,21,11,6.0,31,23,12.8,28.8,5,2,5,5,8.6,67.1,4,10.6,10.1,0.6,2.4,1,31,4,3,0
P442,6,10,11,6.7,47,50,18.8,0.8,2,1,12,4,6.1,53.2,0,8.0,3.1,0.28,10.3,0,63,3,4,0
P425,13,21,5,5.7,54,17,-16.3,18.0,1,0,7,3,43.6,75.3,0,9.8,14.5,0.78,4.8,2,21,4,2,1
P401,6,14,8,4.3,43,28,6.6,3.2,2,1,6,4,35.8,66.1,5,10.7,14.6,0.32,2.8,3,10,6,3,0
P463,1,7,9,3.1,50,23,-29.9,-3.9,1,3,6,5,34.5,71.0,2,9.6,5.6,0.52,5.8,1,21,3,5,1
P478,13,14,12,1.9,78,59,-17.0,1.1,0,1,7,1,10.1,71.4,0,8.1,4.0,0.24,5.7,1,75,2,5,0
P120,5,10,9,4.5,22,70,2.3,11.3,1,2,5,4,35.9,75.8,1,10.0,10.5,0.47,6.1,1,43,5,1,0
P206,10,21,13,6.0,49,45,-27.6,31.4,5,3,3,4,5.7,75.1,1,10.4,11.8,0.27,2.0,0,40,4,5,0
P435,3,7,9,4.8,46,54,-20.8,7.5,1,0,2,2,7.5,67.3,2,9.2,13.9,0.64,1.8,0,10,7,4,0
P402,7,21,13,6.1,72,16,-6.2,-7.5,1,2,6,5,7.4,89.8,0,10.4,8.2,0.9,10.7,1,48,2,1,1
P216,10,21,13,3.3,36,31,1.5,-8.9,2,3,8,2,14.9,73.9,1,10.3,13.8,0.2,5.3,1,6,2,1,0
P223,3,10,9,1.5,25,18,-18.6,-0.6,2,2,10,2,6.2,58.7,1,7.5,11.9,0.51,1.8,1,65,4,3,0
P498,5,10,12,6.4,66,69,-17.4,-7.7,3,1,10,9,38.0,72.4,2,10.5,3.4,0.66,9.3,0,56,1,2,0
P380,7,10,13,2.5,62,51,-33.4,6.7,4,0,11,1,28.2,91.1,0,10.8,11.3,0.87,2.0,0,71,4,2,1
P391,14,10,10,5.3,37,68,19.0,7.3,3,0,5,1,14.9,80.8,3,9.9,12.5,0.18,10.5,1,63,3,4,0
P302,3,7,4,6.6,79,49,-3.3,33.7,6,0,9,4,18.5,94.4,1,7.9,13.4,0.69,1.6,3,18,6,4,1
P150,13,14,4,2.0,54,38,-8.2,3.8,2,0,8,0,41.9,61.5,2,8.2,4.4,0.23,3.5,0,46,4,5,0
P370,13,14,7,5.2,46,64,-27.3,17.0,1,0,9,4,34.7,83.3,1,7.6,13.6,0.61,9.6,0,21,2,5,0
P423,10,7,5,5.8,36,73,-10.7,26.8,2,2,3,4,11.4,69.7,2,10.4,5.5,0.84,10.1,1,75,3,3,0
P376,2,21,6,6.2,30,51,-13.2,13.1,1,0,9,3,26.9,83.3,3,9.9,5.2,0.52,10.3,1,63,4,5,0
P240,6,7,10,2.0,57,38,-24.5,21.3,2,3,9,2,5.3,53.3,0,8.2,11.5,0.65,8.1,0,71,3,5,1
P374,8,14,10,6.8,56,30,-13.2,33.8,4,0,16,5,26.6,76.7,2,8.2,4.7,0.31,6.4,1,21,8,5,1
P389,4,14,6,1.7,61,72,-27.8,4.6,4,2,6,4,8.9,78.1,2,8.7,5.9,0.68,8.7,0,74,2,5,0
P433,9,7,5,4.6,53,72,2.6,-6.7,1,2,4,2,12.3,80.1,2,7.5,3.5,0.36,8.6,0,32,6,5,0
P480,12,10,4,4.1,66,47,14.5,9.4,4,0,10,3,43.1,74.8,1,9.0,5.9,0.36,5.0,2,12,4,3,0
P472,12,21,12,2.6,51,21,-39.8,14.3,2,0,8,4,22.4,75.2,0,10.4,13.7,0.4,4.7,1,11,1,2,1
P151,8,7,13,3.1,62,42,-6.6,16.1,2,2,13,3,14.3,53.4,0,10.8,8.4,0.75,3.3,2,15,8,4,1
P126,7,14,6,2.2,75,10,3.9,23.2,1,0,12,2,6.3,79.6,1,10.1,10.4,0.66,8.2,1,81,5,2,1
P256,14,10,12,4.0,76,37,14.4,30.4,1,3,10,4,29.7,62.2,0,8.4,11.8,0.57,7.9,0,22,6,4,1
P338,7,21,7,1.2,65,71,-18.5,12.5,2,0,14,4,11.1,60.7,1,10.0,14.8,0.25,5.5,2,7,1,3,0
P255,3,14,13,7.2,65,68,14.4,-3.5,1,2,10,2,13.0,90.1,0,9.8,8.1,0.18,1.6,2,47,2,3,0
P390,14,21,9,2.1,54,58,9.5,8.2,5,1,4,1,17.9,80.3,3,9.6,11.2,0.31,9.0,2,62,1,2,0
P235,6,10,10,7.2,47,54,-8.5,-3.0,0,3,5,2,44.3,57.2,2,10.8,5.8,0.23,8.8,0,57,5,1,0
P243,13,14,13,7.0,73,15,-24.6,-1.8,3,3,11,4,27.3,51.6,0,10.9,14.3,0.62,8.8,0,55,4,3,1
P205,13,10,9,4.2,41,29,-0.8,-9.9,3,1,10,3,29.5,52.6,1,7.0,12.7,0.29,7.2,2,37,4,5,0
P257,5,7,4,4.5,35,25,-24.4,31.8,4,1,8,5,40.4,91.2,0,9.7,7.3,0.43,7.9,3,87,3,5,1
P245,1,7,9,3.1,65,21,-19.1,23.5,3,0,7,3,29.8,79.1,1,7.6,7.0,0.35,7.9,0,15,3,2,1
P101,11,21,14,8.0,61,61,-12.0,-5.5,0,0,7,6,14.3,67.3,3,7.9,4.1,0.86,4.2,1,39,5,3,0
P176,3,10,9,5.7,73,29,-10.1,31.4,2,0,8,2,32.9,64.6,1,7.6,9.7,0.75,5.8,0,68,6,4,1
P231,13,10,8,7.7,59,67,-28.7,29.2,2,0,13,4,35.7,55.2,3,8.7,6.3,0.39,11.5,2,81,3,4,0
P189,12,21,6,3.9,31,54,1.6,30.9,2,0,14,1,21.0,58.8,1,10.5,12.1,0.2,3.7,0,16,6,3,0
P444,1,21,13,7.2,24,11,19.5,-5.6,1,1,2,1,15.7,95.0,1,8.6,8.0,0.84,10.8,1,82,4,1,1
P449,4,21,6,4.1,45,43,-25.4,-6.4,2,1,8,2,7.4,78.2,1,7.5,14.8,0.39,1.2,0,57,7,5,0
P362,10,7,14,7.1,45,35,-6.7,-7.0,2,1,7,1,12.3,51.1,0,9.5,11.0,0.64,2.2,3,37,4,1,0
P450,3,21,13,1.9,32,42,-12.7,33.5,2,1,12,1,32.0,89.0,0,10.5,8.1,0.8,1.3,0,68,3,3,0
P207,11,7,10,5.5,43,51,-21.5,19.7,1,1,8,3,9.9,81.9,0,10.0,11.1,0.87,8.7,2,5,1,3,0
P173,4,21,11,5.8,63,74,-14.8,-2.0,2,0,9,3,29.9,81.4,0,9.2,15.0,0.43,5.4,0,49,3,4,0
P138,9,10,6,5.6,22,17,4.0,31.8,1,0,8,4,37.5,94.6,0,9.7,12.3,0.64,6.1,0,54,5,2,0
P496,3,10,6,4.1,51,74,-15.1,9.9,3,4,9,9,16.2,59.2,1,7.7,14.0,0.89,5.1,2,12,3,5,0
P258,12,21,10,5.8,42,19,-9.6,25.3,3,1,6,3,41.6,92.0,2,8.2,11.7,0.82,1.1,1,62,3,2,1
P170,6,21,13,2.7,68,41,-11.4,18.6,1,1,14,0,22.6,74.4,2,9.9,9.5,0.12,8.0,0,16,3,4,0
P411,6,7,10,5.2,71,60,-6.7,19.2,2,2,10,1,43.1,52.6,1,8.9,3.8,0.48,5.7,2,78,4,4,0
P340,7,14,14,4.9,56,66,-22.5,9.8,1,0,12,1,8.7,88.8,0,8.0,12.9,0.69,4.8,1,84,2,3,0
P397,9,7,12,3.2,74,49,-9.4,7.8,2,0,4,3,15.6,84.7,0,9.1,12.8,0.83,1.6,0,89,3,4,1
P135,12,10,9,6.5,57,40,-31.9,-2.7,2,3,3,3,31.8,72.9,1,9.5,12.7,0.14,12.0,1,37,4,1,1
P183,7,21,10,1.6,64,72,4.5,-6.8,2,3,7,4,28.5,51.6,1,8.9,9.5,0.19,8.5,2,74,4,5,0
P473,14,10,14,2.2,57,65,-33.3,31.8,0,3,9,5,36.7,77.5,0,8.5,13.4,0.85,4.7,1,46,5,2,1
P362,1,14,13,4.3,32,21,7.1,32.1,3,2,11,1,5.4,71.3,0,9.8,13.5,0.65,6.8,0,61,5,3,0
P409,8,7,4,7.2,34,40,9.5,18.9,1,1,9,4,32.0,77.0,1,9.9,9.5,0.36,10.9,3,62,6,3,0
